Column1,Gender,EthnicGroup,ParentEduc,LaunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
1,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91
2,male,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39
3,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68
4,male,group A,bachelor's degree,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71
5,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58
6,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58
7,male,group B,bachelor's degree,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53
8,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76
9,female,group D,bachelor's degree,standard,none,single,sometimes,yes,0,private,< 5,66,72,72
10,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52
11,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55
12,male,group C,bachelor's degree,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43
13,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87
14,female,group C,High School,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10
15,male,group B,High School,standard,none,married,never,yes,1,private,< 5,63,62,58
16,male,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64
17,female,group D,High School,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73
18,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52
19,female,group A,bachelor's degree,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67
20,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52
21,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62
22,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99
23,female,group D,bachelor's degree,standard,none,married,never,yes,1,school_bus,< 5,47,56,51
24,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100
25,female,group D,High School,standard,none,single,regularly,yes,0,private,> 10,54,64,63
26,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90
27,male,group E,bachelor's degree,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73
28,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85
29,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72
30,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82
31,male,group C,High School,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40
32,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76
33,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54
34,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70
35,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79
36,female,group C,bachelor's degree,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33
37,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79
38,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64
39,female,group C,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88
40,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66
41,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86
42,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83
43,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77
44,male,group E,High School,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76
45,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52
46,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56
47,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75
48,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62
49,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62
50,male,group B,High School,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45
51,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85
52,male,group D,bachelor's degree,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77
53,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52
54,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86
55,female,group D,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75
56,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76
57,male,group D,High School,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77
58,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86
59,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68
60,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74
61,female,group C,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98
62,male,group E,High School,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79
63,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85
64,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80
65,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67
66,male,group B,bachelor's degree,standard,none,married,regularly,yes,2,private,> 10,57,53,53
67,male,group D,High School,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69
68,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69
69,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60
70,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66
71,female,group C,High School,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78
72,male,group D,High School,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40
73,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99
74,female,group C,High School,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91
75,female,group B,High School,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80
76,male,group D,High School,standard,none,married,sometimes,yes,2,private,< 5,83,71,68
77,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59
78,male,group A,bachelor's degree,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77
79,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80
80,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70
81,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,62,58,54
82,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70
83,female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,< 5,55,64,63
84,female,group E,high school,standard,none,married,never,no,3,private,> 10,74,85,78
85,female,group C,bachelor's degree,standard,none,married,regularly,yes,2,private,< 5,70,80,80
86,male,group A,bachelor's degree,free/reduced,none,married,regularly,yes,2,school_bus,> 10,29,23,19
87,female,group B,High School,standard,none,married,sometimes,yes,2,school_bus,< 5,39,54,49
88,male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,> 10,61,55,52
89,female,group B,High School,free/reduced,none,single,sometimes,no,3,school_bus,< 5,23,37,26
90,male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,> 10,61,62,54
91,male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,< 5,64,70,65
92,male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,> 10,92,76,79
93,female,group C,bachelor's degree,standard,completed,married,sometimes,no,1,school_bus,< 5,61,76,78
94,female,group C,associate's degree,standard,none,married,regularly,no,1,private,< 5,45,57,57
95,female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,> 10,64,74,73
96,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,< 5,40,65,67
97,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,1,private,< 5,77,88,87
98,female,group D,High School,free/reduced,none,single,sometimes,no,3,school_bus,< 5,26,33,31
99,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,> 10,51,59,62
100,male,group D,High School,standard,none,single,sometimes,yes,0,private,> 10,76,75,73
101,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,> 10,84,98,97
102,female,group D,High School,standard,none,single,sometimes,no,2,school_bus,> 10,82,91,83
103,female,group A,High School,standard,none,single,sometimes,no,1,private,> 10,73,84,78
104,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,private,< 5,84,98,93
105,female,group E,High School,free/reduced,none,divorced,regularly,yes,3,private,> 10,40,50,47
106,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,< 5,62,71,68
107,male,group D,master's degree,standard,none,married,sometimes,no,1,school_bus,< 5,71,70,75
108,female,group D,bachelor's degree,standard,none,single,sometimes,no,3,private,< 5,74,66,75
109,male,group E,bachelor's degree,standard,none,married,sometimes,yes,3,school_bus,> 10,78,68,68
110,male,group C,associate's degree,standard,completed,divorced,regularly,yes,4,private,> 10,60,55,58
111,male,group B,High School,standard,none,single,regularly,yes,0,school_bus,< 5,73,62,57
112,male,group D,High School,standard,none,single,never,no,4,private,< 5,56,57,51
113,female,group A,bachelor's degree,free/reduced,none,married,regularly,no,2,school_bus,> 10,51,66,57
114,male,group B,associate's degree,standard,completed,married,regularly,no,3,school_bus,> 10,68,66,65
115,male,group D,associate's degree,standard,completed,widowed,never,no,5,school_bus,> 10,86,83,84
116,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,< 5,68,72,66
117,female,group D,master's degree,free/reduced,completed,divorced,never,yes,0,private,> 10,47,59,68
118,male,group C,High School,free/reduced,none,married,sometimes,no,3,school_bus,> 10,70,63,55
119,male,group C,high school,standard,none,single,never,yes,4,school_bus,< 5,57,54,52
120,male,group C,high school,standard,completed,single,regularly,yes,2,school_bus,> 10,91,83,83
121,female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,> 10,68,79,77
122,male,group C,bachelor's degree,free/reduced,none,married,never,yes,3,private,> 10,64,57,48
123,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1,private,< 5,52,57,55
124,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,> 10,26,31,38
125,male,group A,high school,free/reduced,completed,married,regularly,no,7,school_bus,> 10,76,69,67
126,female,group D,High School,standard,none,married,sometimes,no,5,private,> 10,57,66,60
127,male,group E,associate's degree,standard,none,single,sometimes,yes,4,school_bus,> 10,78,72,68
128,female,group B,associate's degree,standard,none,single,regularly,no,3,school_bus,< 5,48,51,54
129,female,group A,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,< 5,64,84,76
130,female,group C,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,< 5,78,86,88
131,female,group B,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,53,63,68
132,female,group C,bachelor's degree,standard,none,married,regularly,no,3,school_bus,< 5,53,47,52
133,male,group E,bachelor's degree,standard,none,married,sometimes,yes,3,school_bus,< 5,73,69,70
134,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,private,< 5,91,85,90
135,female,group E,associate's degree,standard,completed,married,regularly,yes,3,school_bus,> 10,100,91,96
136,female,group B,High School,standard,none,married,sometimes,yes,3,school_bus,< 5,79,80,78
137,male,group D,High School,free/reduced,none,married,regularly,no,2,school_bus,< 5,61,48,52
138,male,group C,High School,free/reduced,completed,single,sometimes,yes,4,school_bus,< 5,54,60,58
139,female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2,private,< 5,28,40,46
140,male,group E,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,60,60,56
